SN,Yr_disclosure,Regions,Codes,NoStuR,NoStuE,NoStuE_ODC,StuEmp_CEA,NoCEA,Class_UND30,NoStuE_MJCred,NoStuE_LBCred,NoStueE_Cap,CapFund,TPTC,NoStuE_VolCLPG,No_VolCLPG,LibLit_pStuE,LibSpen_pStuE,NoStuR_pFac,NoStuE_pFac,NoStuE_EntreCL,NoStuE_EntrePG,NoStuE_EntreCLPG,NoFac_Entre,EntreFund_Col,EntreFund_Bus,Startup_Fund,EntreFund_pStuE,StuEStartup_Fund,Rfac_pStuR,Rfac_pStuE,BookPub_pFac,PaperPub_pFac,RLand_pStuR,RLand_pStuE,RFacil_StuR,RFacil_StuE,Tot_FinanSup,No_FinanSup,Tot_GF,No_GF,Tot_RGF,No_RGF,Profit_CIC,TotIncome_CIC,EduSupFee_pStudE,TotEduSup_Fee,TotExt_Schol,NatSchol,TotInt_Schol,Disast_Schol,TotSchol,Schol_pStuE,Cred_pRFac,Cred_pCFac,TotCred,AveGradScore,NoGrad,NoEmpl,NoExcep,Freelancer,Founder,IndFac_H,IndFac_D,IndFac_C,SafeFund_SCI,REnrol_StuR
115,2019,14_Kyungnam,C122,1170,1193,72,53,5,505,14938,3925,106,24500636,106,296,1,59.1,32248,31.62,32.24,372,39,411,1,0,14460000,14460000,35182.482,14460000,62.71,60.66,0.003,0.205,521,512,194.7,191.3,2298000000,2,2298000000,2,0,0,126309500,2416405388,14240289.7,16874743321,2964043480,2895433500,1117942150,0,4081985630,3561942.1,854,875,1729,3.47,438,322,7,0,2,6,0,0,466400,96.1
116,2019,14_Kyungnam,C123,2386,2808,0,0,0,550,41013,10604,0,0,0,912,1,32.5,22359.6,30.99,36.47,934,51,985,0,0,0,0,0,0,65.25,55.8,0.135,0.135,55.1,46.4,113.8,95.8,0,0,0,0,0,0,9090909,67517080,8195644.6,22857652743,8058040360,7961083780,2473962100,0,10532002460,3800794.8,1734.8,1378.2,3113,3.17,893,694,53,0,4,0,0,0,12725830,93.7
117,2019,14_Kyungnam,C125,3189,3095,303,34,4,1234,39398,11406,409,42309953,0,6990,3,61.7,21780,35.43,34.39,645,129,774,2,0,35000000,35000000,45219.638,35000000,59.21,60.4,0.122,0.077,224,234.6,206.1,215.9,6618223118,27,5871685118,14,746538000,13,279487417,7005173442,11678469.1,36857248401,7041608640,6945601430,2472651330,0,9514259970,3072089.1,2174,2142,4316,3.28,1354,847,139,0,17,9,34,0,19415480,89.8
118,2019,14_Kyungnam,C126,594,651,170,15,84,264,6747,1289,289,73189412,258,261,2,31.6,22710.3,29.7,32.55,257,0,257,3,0,0,0,0,0,66.67,60.61,0.183,0.099,157.6,499.5,165.5,262.3,3380868000,5,3350868000,4,30000000,1,109592634,3813138391,14159523.6,9161211773,2180254030,1969567470,742273600,0,2922527630,4602405.7,420,472,892,3.42,307,177,5,0,0,5,0,0,98318810,97.8
119,2019,15_Chonbuk,C127,893,1134,0,0,0,175,16454,4382,0,0,0,0,0,32.7,28703.8,28.81,36.58,297,45,342,0,3307400,0,3307400,9670.76,643900,68.89,54.39,0.032,0.394,192.1,74.9,114,88.9,0,0,0,0,0,0,880000,30305800,9396435.3,10674350519,3006434640,2985892720,1075000000,0,4081434640,3599148.7,603,382,985,3.25,267,215,2,0,0,2,0,0,5521930,95.3
120,2019,15_Chonbuk,C128,1551,1951,70,0,11,875,24659,4335,25,14030000,137,317,9,45.3,24618.8,29.26,36.81,631,26,657,2,3632000,0,3632000,5528.158,2000000,69.74,56.99,0,0.025,442.1,420.8,125.3,119.3,5300844000,19,4746485000,8,554359000,11,33059936,5529824378,11284243.5,21406209893,4817706174,4787201834,1846659983,0,6664366157,3653709.5,1361,1595,2956,3.41,701,413,84,5,16,0,0,1,0,97
121,2019,15_Chonbuk,C129,1407,1264,0,0,0,639,17663,3229,0,0,23,570,6,33.5,3235.5,38.03,34.16,189,0,189,0,0,0,0,0,0,52.11,57.81,0.005,0.06,458.3,487.3,182.5,194,0,0,0,0,0,0,20317494,21492620,9925613.4,13449206097,2960474763,2936895963,1106319203,0,4066793966,3076243.5,624,1295,1919,3.3,612,244,104,2,8,0,0,0,0,85.4
123,2019,15_Chonbuk,C131,4043,4543,406,51,32,1440,62503,13192,902,86324536,0,1534,5,40.4,23947.3,32.09,36.06,1878,210,2088,2,38400000,213127230,251527230,120463.233,251527230,64.29,57.27,0.03,0.392,101.6,95.6,112.7,105.9,7646950500,34,6497154000,20,1149796500,14,142696455,7242855185,12041830.7,54308656459,13992000797,13856457557,3748917644,0,17740918441,4016508.6,2906.7,2740.4,5647.1,3.5,1570,1091,152,0,6,17,0,0,49947270,90.5
124,2019,15_Chonbuk,C132,1512,1649,210,54,116,643,22694,3011,405,45786639,126,1032,6,40.4,29891.4,30.24,32.98,749,65,814,3,262000,10704000,10966000,13471.744,10966000,67.57,62.5,0.156,0.068,263.9,232.9,227.6,200.8,3673362000,24,3222362000,11,451000000,13,731621070,3814755341,10903733,17511395257,5283168130,5253068130,1817015450,0,7100183580,4548484,1056,1189,2245,3.32,605,384,110,6,24,2,10,0,7067440,94.1
125,2019,15_Chonbuk,C133,2052,1765,49,15,49,885,14620,1717,222,87667950,0,984,2,51.4,22661.7,41.88,36.02,434,80,514,2,14000000,4918870,18918870,36807.14,62837740,56.32,65.33,0.063,0.065,72.5,86.4,125.3,149.2,1650073968,17,959305514,6,690768454,11,90148494,1702255189,10604202.2,17952914355,5694323890,5627543750,1897095429,0,7591419319,4651605,1188,1583,2771,3.32,609,382,113,2,10,2,0,0,16530000,82.1
126,2019,15_Chonbuk,C134,2579,3563,294,48,204,1322,43571,10879,594,120940770,275,834,9,38.4,21943.1,29.31,40.49,1951,638,2589,2,0,69457000,69457000,26827.733,69457000,68.75,50,0.023,0.425,221.8,195.4,176.4,155.3,6187451600,40,5170947000,17,1016504600,23,680792608,6765125323,10537776.8,38178365191,10223472630,10031531260,2892193430,0,13115666060,3737721.9,2075.7,2821,4896.7,3.45,1362,799,196,5,15,8,8,0,1651130,96.9
127,2019,15_Chonbuk,C135,1570,1636,0,0,0,600,13503,10182,0,0,0,0,0,40.4,48572.5,29.07,30.3,1420,14,1434,0,0,0,0,0,60811000,68.35,65.85,0.064,0.233,1666.9,1681.2,311,313.6,1580616819,25,1544786819,23,35830000,2,1387487288,2870921486,0,0,134587500,134587500,263048310,0,397635810,267408.1,1253,440,1693,3.71,474,61,146,0,7,0,0,0,5052000,97.2
128,2019,16_Chonnam,C136,2002,1954,0,0,0,518,19938,2711,0,0,0,616,22,12.9,4365.8,30.8,30.06,776,0,776,1,33500000,0,33500000,43170.103,0,73.86,77.38,0.002,0.069,347.1,436.7,142.9,179.7,1042815430,4,0,0,1042815430,4,133623789,1505601831,7024842.9,15574076789,5551500980,5519828380,1018430520,0,6569931500,3104882.6,1417,1139,2556,3.45,920,521,110,0,36,4,3,0,2993230,90.4
129,2019,16_Chonnam,C137,1920,996,0,0,0,524,20269,1680,0,0,0,249,8,34.2,0,32,16.6,0,0,0,1,0,0,0,0,0,63.16,117.65,0.019,0.032,132.6,478.5,127.1,229.3,0,0,0,0,0,0,17548000,84598416,0,0,508241580,495388600,2332638800,0,2840880380,2417770.5,1300.1,464,1764.1,3.39,451,361,24,0,2,0,0,0,37192000,47.2
130,2019,16_Chonnam,C138,1700,1736,0,0,0,686,21839,4199,0,0,31,750,7,31.6,19391.4,30.36,31,0,0,0,0,0,0,0,0,0,71.79,70.89,0.318,0.077,576.6,552.9,186.4,178.7,300000000,2,300000000,2,0,0,4800000,318971187,7221533.4,13164855418,4422997660,4360137660,877896240,0,5300893900,2971353.1,1303,1035,2338,3.44,581,404,56,0,18,0,0,0,4737260,91.3
131,2019,16_Chonnam,C139,2305,2287,0,0,0,750,29444,6842,0,0,133,0,0,31.1,22225.8,32.46,32.21,571,128,699,2,3000000,10000000,13000000,18597.997,3000000,62.83,63.39,0.066,0.074,190.7,190.5,180,179.8,4659000000,3,4479000000,2,180000000,1,52788513,5562525333,11097364.3,25546132653,6735919228,6543030308,1693957190,0,8429876418,3739962.9,1791,1100,2891,3.28,700,529,88,10,19,0,0,1,23818120,86.4
132,2019,16_Chonnam,C140,2485,2669,275,83,247,969,29468,8864,458,64478507,274,2178,5,42.2,26668.2,32.7,35.12,1920,539,2459,1,15000000,25200000,40200000,16348.109,40200000,63.87,59.38,0.045,0.059,338.7,330,152.6,148.7,2557101800,15,2226901800,8,330200000,7,77252857,2550642728,9158393.6,23537071459,6229844768,6213848768,2010093500,0,8239938268,3330613.7,2055.6,1578.4,3634,3.43,988,543,92,0,11,6,1,0,16290530,92.4
133,2019,16_Chonnam,C141,3188,4131,664,143,75,1514,56325,11868,612,41437700,106,255,3,29,28025.5,30.95,40.11,1745,81,1826,3,0,17202760,17202760,9421.008,17202760,64.38,50.49,0.269,0.089,150.2,150.6,129.1,129.5,5169831200,15,4852868000,5,316963200,10,183219083,5453072769,9104229.3,38328805281,12199697120,12147526160,2699602440,0,14899299560,3658963.5,2908,2853,5761,3.52,1508,875,288,0,50,3,0,0,6678530,89.5
134,2019,16_Chonnam,C142,1510,1341,0,0,0,769,18528,2836,120,16891000,257,354,2,64.5,38878.7,33.56,29.8,851,255,1106,0,0,0,0,0,16800000,62.5,69.23,0.169,0.052,600,723.5,169,203.7,6303567855,50,4224032944,14,2079534911,36,430465535,6698273666,0,0,1479312500,1434124000,412408050,0,1891720550,1444061.5,791,1350,2141,3.29,564,312,100,9,10,0,0,0,13793000,83.5
135,2019,16_Chonnam,C143,2777,2675,0,0,0,765,37546,5620,0,0,0,296,4,34.8,22011.5,37.03,35.67,1535,54,1589,3,1200000,8200000,9400000,5915.67,9400000,56.39,57.69,0.255,0.24,66.1,67.6,141.3,144.6,3266500330,92,1970892800,29,1295607530,63,480337904,3987422256,9724686,26810959435,7556977500,7509747500,2234383510,0,9791361010,3638558.5,1678,1734,3412,3.33,912,622,60,0,14,0,0,0,13334110,87.2
136,2019,16_Chonnam,C144,1404,1364,0,0,0,462,18115,3350,0,0,167,129,2,20.7,17888.4,36.95,35.89,297,118,415,1,25419380,7000000,32419380,78118.988,0,55.88,56.72,0.005,0.026,543.9,586.6,166.4,179.5,545000000,2,500000000,1,45000000,1,472857999,584451062,8042222.1,10977633160,3112664324,3097364324,898942710,0,4011607034,3043707.9,688,1226,1914,3.56,521,336,44,0,18,4,0,0,22507580,86.4
137,2019,17_Jeju,C145,2370,2295,67,29,61,1094,24818,5281,15,1066890,331,477,25,31.9,32412.6,31.6,30.6,573,40,613,1,8000000,0,8000000,13050.571,0,69.44,70.75,0.076,0.012,162.4,170.1,181.8,190.4,5869486140,31,3496446220,6,2373039920,25,122599562,1517950208,8769389.5,19660971195,5660331429,5554896959,1410000000,0,7070331429,3350868,1696,1888,3584,3.46,759,488,84,0,13,5,0,0,6899610,85
138,2019,17_Jeju,C147,4646,5918,0,0,0,2203,61437,11809,414,48399485,0,341,12,25.9,14483.2,30.57,38.93,1858,205,2063,4,10000000,162000000,172000000,83373.728,171673420,70.05,55.47,0.015,0.25,109.1,90,117.8,97.2,5849882440,48,3622647440,20,2227235000,28,760946861,4429268858,7555119.4,41590932571,11354744880,11195493330,2828808685,0,14183553565,2618824.5,3756,3697,7453,3.33,1554,1008,232,0,20,5,77,4,18891070,89.8
139,2020,01_Seoul,C001,4976,5828,287,59,93,1136,62717,18498,475,33859486,192,0,0,49.2,43882.3,31.9,37.36,1195,492,1687,6,8291090,81942300,90233390,53487.487,136098705,64.46,54.93,0.044,0.209,28.9,28.4,118.3,116.1,9066070000,25,7274913000,21,1791157000,4,259210826,8584311854,10563541.7,61585448381,15259260960,14962896200,5810000000,0,21069260960,3711337.1,3574,3219,6793,3.36,2459,1511,201,23,16,7,0,0,12952950,92.7
140,2020,01_Seoul,C002,5869,7035,0,0,0,3111,72550,19406,1105,168550936,629,752,63,32.6,32294.2,32.97,39.52,1145,717,1862,4,60870000,66094000,126964000,68186.896,126964000,64.96,54.27,0.018,0.105,26.5,23.9,136.6,123.4,2444893706,15,2149215706,13,295678000,2,704026917,1713651950,9964838.2,70311898196,17712445597,17512369967,6707295120,0,24419740717,3632808.8,3949,5638,9587,3.38,2928,1581,382,59,42,18,0,0,3385890,96.1
141,2020,01_Seoul,C003,2690,2840,0,0,0,573,31486,7925,400,34570655,155,212,11,52.6,26417.5,34.49,36.41,637,442,1079,2,36240090,0,36240090,33586.738,36240090,65.55,61.42,0.131,0.397,45.9,46.5,120.3,121.9,898259513,9,429516432,6,468743081,3,81058367,1112750279,9819283.8,28112609515,7230311030,7062776410,2189043390,0,9419354420,3423974.7,1522,1840,3362,3.46,1236,840,129,5,5,5,0,0,39657000,92
142,2020,01_Seoul,C004,1072,1325,30,17,22,449,17018,5484,146,13721330,29,863,15,42.8,37544.3,24.93,30.81,459,177,636,2,0,0,0,0,818000,79.63,65.15,0.315,0.163,174.9,139.1,128,101.7,2563583900,8,2479140000,6,84443900,2,34196364,567366887,12047285.3,16516828115,3046796835,2960937740,1263071825,0,4309868660,3201982.7,906,759,1665,3.18,513,380,28,0,6,1,0,0,14727950,96.4
143,2020,01_Seoul,C005,684,934,0,0,0,195,12254,5172,214,4200000,0,225,2,37.6,40081.6,25.33,34.59,135,13,148,2,0,0,0,0,0,77.14,57.45,0.056,0.468,39.7,29.5,106.9,79.5,1927456968,5,1632456968,3,295000000,2,228490000,1893599259,11291496.9,10602715612,1809019400,1743586400,914736360,0,2723755760,2935081.6,362.2,371.8,734,3.28,248,229,0,0,0,0,0,0,4860000,92.7
144,2020,01_Seoul,C006,5386,6055,1172,14,59,2203,67219,14008,752,54050750,611,656,6,29.6,34092.9,31.87,35.83,1528,313,1841,3,37399000,612115000,649514000,352804.997,657288000,65.25,57.88,0.036,0.429,31.1,30.7,100.1,99.1,7569790203,36,5358509373,25,2211280830,11,461260617,6771842707,9690042.7,58188706406,14968442640,14776044600,5605779015,0,20574221655,3509761.5,3521.5,4770.8,8292.3,3.26,2255,1344,276,39,19,12,0,0,20275287,95.8
145,2020,01_Seoul,C007,3375,3396,0,0,0,770,39202,5869,406,8325490,169,2011,17,53.6,32638.5,44.41,44.68,853,552,1405,2,47896130,0,47896130,34089.772,0,51.01,50.67,0.056,0.368,50.5,53.6,147.8,157.1,143112000,3,143112000,3,0,0,41305394,210765799,8060637.4,27099863074,8006798930,7893268930,3016793800,0,11023592730,3391874.7,1895,2328,4223,3.24,1456,916,109,106,8,5,0,0,17724040,92.6
146,2020,01_Seoul,C008,5826,6369,302,19,72,1406,63221,23230,1540,42507700,791,3646,15,38.7,8065.8,37.59,41.09,1967,942,2909,7,227000000,1750000000,1977000000,679614.988,211500000,56.16,51.32,0.033,0.058,57.9,57.4,124.6,123.5,3529699000,25,3404866000,22,124833000,3,319863464,4311586225,9672694,60444665093,15568751957,15285389207,4979854987,0,20548606944,3396464,3739.6,3423,7162.6,3.52,2329,1266,252,65,13,9,0,0,11438130,94.3
147,2020,01_Seoul,C010,6252,6633,1278,0,35,2210,73171,10683,0,0,613,1311,20,35.8,27066.7,34.93,37.06,1952,873,2825,3,14700000,135681693,150381693,53232.458,150381693,61.51,58.31,0.115,0.378,49.8,50.5,131.1,133,9966467510,47,6806640480,28,3159827030,19,1207519566,12867663813,10046784,65896856280,14914463183,14600547600,5778055318,0,20692518501,3227658.5,3991.5,4387,8378.5,3.41,2550,1557,252,107,18,24,15,4,98318810,93.5
148,2020,02_Inchon,C011,4004,4720,171,34,74,1267,55759,14766,596,90900608,233,1302,6,40.9,28460.4,34.82,41.04,3429,330,3759,1,33787794,0,33787794,8988.506,33787794,63.54,53.99,0.114,0.16,36,34.4,105.7,100.9,2392183000,20,1335242000,11,1056941000,9,283130480,2423690906,10087021.6,46864302226,12741057570,12675752600,4844868440,0,17585926010,3867588.7,2689,2886,5575,3.36,1878,1239,193,18,6,2,1,0,14234240,95.7
149,2020,02_Inchon,C012,3316,3655,197,78,72,2087,52318,5505,811,103580890,233,1287,5,26.7,28211.9,34.91,38.47,3224,431,3655,2,0,9873100,9873100,2701.259,311406460,62.09,56.21,0.081,0.119,92,86.6,137,129.4,7559022500,14,6925403750,10,633618750,4,720119032,8579323536,9510021.4,38563136809,9674780831,9542416670,3152968840,0,12827749671,3333614.8,3077.4,2448.3,5525.7,3.51,1612,1125,133,11,13,0,0,0,8238670,98.3
150,2020,02_Inchon,C013,5756,6840,231,61,135,2845,88809,14198,704,153875428,640,33,1,31,24573.9,33.27,39.54,1752,184,1936,2,2200000,125692815,127892815,66060.338,127892815,62.45,52.58,0.081,0.343,54.2,52.1,105.8,101.7,7611559510,41,7472809510,34,138750000,7,607208828,8458664937,10707710.2,73658338746,17671993241,17346283701,7474135073,0,25146128314,3733649.3,5392,4251,9643,4.17,3090,1741,222,0,21,21,6,0,36651720,98.1
151,2020,03_Daejeon,C014,4062,3741,0,0,0,1389,49952,10133,459,18608508,0,294,31,42.1,26832.9,41.45,38.17,614,0,614,1,0,0,0,0,0,50,54.14,0,0.009,201.7,239.3,119.3,141.6,4035924800,15,3933560000,7,102364800,8,243043575,4091456208,10129466.8,42472854494,10674735653,10614590533,3406865777,0,14081601430,3535425.9,2539,2508,5047,3.21,1733,969,284,19,18,0,0,0,13392050,81.6
152,2020,03_Daejeon,C015,4142,4424,0,0,0,1285,58842,18173,155,46623240,315,828,1,78.7,28619.9,33.67,35.97,1369,610,1979,4,0,36931800,36931800,18661.849,36931800,62.12,58.02,0.014,0.142,237.6,220.7,179.2,166.4,6027211640,13,5472360000,5,554851640,8,130666330,6063828186,10211670.7,46044423026,12068979650,11919491210,3632711340,0,15701690990,3585679.6,2779,2535.2,5314.2,3.31,1560,1013,226,32,13,1,20,0,4402610,90.1
153,2020,03_Daejeon,C016,5280,5697,0,0,0,1103,66958,16537,258,18845240,156,4222,20,30.6,29966.5,33.85,36.52,1376,138,1514,4,94126394,635254874,729381268,481757.773,62310000,59.32,54.93,0.045,0.335,72.7,72.3,132.5,131.8,6192494465,22,5544118465,14,648376000,8,550680320,6336512749,9999001.5,57294278727,14658111355,14409713955,4778933065,0,19437044420,3457318.5,4200.5,2430.5,6631,3.39,2076,1445,163,7,15,6,0,0,8464390,94
154,2020,03_Daejeon,C017,4640,4469,390,191,160,1907,50656,11961,1430,51091122,412,663,21,36,23234.4,39.32,37.87,2033,291,2324,2,7626800,9023600,16650400,7164.544,22369900,55.4,57,0.023,0.125,106.7,110,122.2,126,3871757675,19,3353452675,12,518305000,7,123935515,3752403013,10329763.5,48932089592,12819392420,12669936880,3824016385,0,16643408805,3660305.4,2834,3647.8,6481.8,3.3,1893,1097,273,12,11,13,1,4,466400,91
155,2020,04_Sejong,C018,3167,3410,0,0,0,1145,34704,10965,0,0,425,956,17,34.2,22258.8,33.34,35.89,1191,340,1531,0,10255400,50919292,61174692,39957.343,61174692,61.69,57.23,0.014,0.073,334,313.2,130.7,122.5,4755450000,13,4680450000,9,75000000,4,907915457,2463991618,10753253.4,37227763385,9044607405,8950885225,2914904560,0,11959511965,3540412.1,2353,2145,4498,3.24,1236,628,231,52,7,18,18,0,38249070,93.2
156,2020,05_Daegu,C019,4703,4992,326,131,159,1765,72744,18041,121,11006750,349,1960,2,46.5,21665.7,38.55,40.92,1670,164,1834,4,8813700,51782070,60595770,33040.224,38095770,56.48,53.04,0.041,0.265,174.4,177.9,136.3,139.1,8411203840,36,7613879000,17,797324840,19,1210324988,8729267419,11208257.1,58899391284,16127193730,16033283850,5325112620,0,21452306350,4225390.3,2623.8,4135.1,6758.9,3.38,2206,1234,360,54,26,6,0,0,12614030,91.1
157,2020,05_Daegu,C020,1751,1661,155,91,205,928,22107,2836,315,34390900,452,321,2,62.8,22737.6,33.04,31.34,3597,346,3943,2,30171120,0,30171120,7651.818,0,61.63,66.25,0.09,0.063,206.6,206.9,278.8,279.1,726755000,10,679455000,6,47300000,4,398257640,870819837,11544875.8,19303032277,4418654650,4386228300,1714003155,0,6132657805,3802019.7,1216.8,1160,2376.8,3.49,722,462,145,49,11,2,3,0,13028980,85.7
158,2020,05_Daegu,C021,3879,4093,167,77,98,1668,57884,9982,284,10998390,259,2169,42,37.7,24262,29.39,31.01,1139,208,1347,2,0,47592150,47592150,35331.96,47592150,71.35,67.01,0.092,0.134,62.8,57.9,185.3,170.8,8438656198,33,7226052942,19,1212603256,14,1238929264,8211936945,11038586.9,45258206465,13820018063,13765885113,4887223807,0,18707241870,4652385.4,2807,2613.2,5420.2,3.41,1456,963,140,0,29,1,11,0,12987710,91
159,2020,05_Daegu,C022,6186,6959,45,4,1,1765,101509,14726,904,36043070,234,1516,27,34.3,24899.9,34.18,38.45,2757,1004,3761,4,33091610,249311360,282402970,75087.203,282402970,59.34,52.46,0.027,0.175,30.1,27.6,137.9,126.2,8277885000,41,7861534000,21,416351000,20,910108518,7948404315,9668531,67718390819,19733432916,19542579296,6402404041,0,26135836957,3779586,3740.2,4559.8,8300,3.34,2466,1685,149,3,11,11,21,2,12798822,92.3
160,2020,05_Daegu,C023,3310,3484,255,82,128,800,47725,7916,493,69349371,29,1102,30,33.9,31570.2,39.88,41.98,732,168,900,1,0,164046861,164046861,182274.29,45798810,53.9,50.3,0.228,0.209,277.9,254.5,195.4,178.9,7747637702,40,5338153000,20,2409484702,20,262707250,7718046467,10630501.1,37270536872,9396791220,9349504220,3032003170,0,12428794390,3637341.1,1591.2,2413.8,4005,3.48,1242,742,149,0,21,4,0,0,3799340,88.5
161,2020,05_Daegu,C024,5017,5872,614,175,214,1731,75514,18840,797,84516253,508,1188,16,42.4,29622.3,35.08,41.06,1982,417,2399,4,43200000,119530000,162730000,67832.43,220730000,58.85,50,0.08,0.342,102.9,91.5,177.8,158.1,10379504000,31,9906327000,19,473177000,12,108756285,9725718658,10397686.5,60109025606,15540191050,15363646150,6297371970,0,21837563020,3847350.8,3395.3,3846.8,7242.1,3.27,2302,1615,209,6,17,8,0,0,14280790,96
162,2020,05_Daegu,C026,5790,7794,886,299,261,2529,97754,14755,1277,34110977,675,703,3,42.5,31547.9,26.81,36.08,3548,403,3951,2,0,67953340,67953340,17199.023,67953340,78.83,58.54,0.019,0.01,948.7,821.6,147.6,127.8,11547052000,43,10954438000,25,592614000,18,1502304889,11920741921,11575543.7,95521386904,23419084560,23235895420,7732466335,0,31151550895,3899305.4,5977,4777,10754,3.43,3286,2242,345,25,16,8,9,0,228160,99.4
163,2020,06_Busan,C027,5629,6540,83,2,3,2602,80611,19027,1132,95893532,790,3065,11,32.7,22321.2,31.1,36.13,1852,431,2283,0,0,195100060,195100060,85457.757,233485060,67.04,57.64,0.14,0.079,78.4,76.1,152,149.1,6838373000,22,6554863000,14,283510000,8,96121650,6457176503,9352849.2,65806647295,19079481070,18875773673,5931029111,0,25010510181,3712961.7,4811.4,4463.9,9275.3,3.57,2764,1848,298,0,26,14,18,0,12273010,92.5
164,2020,06_Busan,C028,1507,1518,0,0,0,574,21860,5093,162,5255630,83,812,31,34.9,25668.8,35.88,36.14,479,127,606,2,36354430,0,36354430,59990.809,3950430,57.53,56,0.747,0.172,60.8,57.8,120.8,114.9,174620000,6,71620000,2,103000000,4,6918000,178161220,8637772.4,12870280902,3676021657,3638271657,1168003368,0,4844025025,3308760.3,779,1223.8,2002.8,3.36,474,288,21,0,4,5,0,0,25648340,84.7
166,2020,06_Busan,C030,4860,5163,41,31,113,3268,65523,14312,726,50573408,132,189,1,30.8,26607.6,33.06,35.12,1501,407,1908,1,0,89400290,89400290,46855.498,89400290,63.09,59.27,0.167,0.164,107.2,106.4,157.8,156.7,7961832903,25,7698097903,17,263735000,8,3443620998,11800539113,10129796.5,58226070521,14999766748,14790148988,4134541552,0,19134308300,3486572.2,4499.6,3553,8052.6,3.47,2238,1254,258,0,20,11,12,0,13739620,88
167,2020,06_Busan,C031,3118,3101,235,100,124,1582,36897,6622,144,16770450,206,1161,83,36.6,25654.9,33.17,32.99,611,482,1093,4,5500000,32500000,38000000,34766.697,38000000,63.09,62.67,0.14,0.136,135.5,141.9,149,156.1,5903143698,17,5390884548,9,512259150,8,211341577,6301752456,10250990.2,32741662691,8352482095,8282923255,2290189620,0,10642671715,3473456.8,2418.9,2058.1,4477,3.31,1055,754,129,5,10,2,19,0,4737260,87.2
168,2020,06_Busan,C032,2992,2625,0,0,0,1377,24855,10815,137,6990600,114,285,10,34,5806.3,35.62,31.25,2381,103,2484,1,62750000,214500000,277250000,111614.332,0,62.69,71.19,0.026,0.093,206,214.8,159.9,166.8,299558020,11,115600000,2,183958020,9,0,453777483,8911937.8,25113840696,9866007780,9806259220,2553814730,0,12419822510,4709830.3,1881,1973,3854,3.32,984,580,236,2,44,6,0,0,8819810,84.5
169,2020,06_Busan,C033,3134,3464,590,149,294,1772,43693,9599,451,40859725,234,320,4,38.5,18171,27.25,30.12,1517,260,1777,3,0,73066937,73066937,41118.141,73130697,77.18,70.55,0.229,0.044,167.6,157.6,197.7,185.8,9533012700,16,9267182700,10,265830000,6,74694398,9414313306,9789910,40853294327,8794835059,8659906989,3580261010,0,12375096069,3089140.3,3127,2427,5554,3.26,1643,879,228,2,9,0,10,0,0,89.5
170,2020,06_Busan,C034,2901,2677,228,68,98,779,36410,7658,494,74619200,102,1053,14,55.6,21943.3,39.2,36.18,2208,85,2293,1,0,38689400,38689400,16872.83,38689400,56.92,61.16,0.108,0.098,124.9,128,149.6,153.3,4960460000,4,4905460000,3,55000000,1,24419092,4919748766,10252324.4,28911554837,7123012930,7027313570,2375865640,0,9498878570,3446617.8,1615,1718,3333,2.72,948,650,48,0,8,2,0,0,923820,83.9
171,2020,06_Busan,C035,902,682,0,0,0,444,10406,1442,0,0,0,0,0,17.4,8351.4,42.95,32.48,0,0,0,0,0,0,0,0,0,46.67,61.76,0,0,330.8,449.5,176.8,240.2,0,0,0,0,0,0,31030900,82032230,8801759.8,6698139223,1908485802,1894947902,574032088,0,2482517890,3541395,456.5,665.6,1122.1,3.49,300,91,96,1,7,0,0,0,0,70
172,2020,07_Ulsan,C037,4727,5478,555,109,185,2133,52910,13328,231,40487272,286,0,4,35.2,28008.2,33.29,38.58,2201,822,3023,2,0,289413678,289413678,95737.24,289413678,61.47,53.18,0.04,0.268,244.8,225.6,152.2,140.3,12308979813,42,10954529813,28,1354450000,14,1903562280,13327152337,10295914.8,54949297238,10289266160,10179045970,4062402150,0,14351668310,2758344.9,5196,3114.8,8310.8,3.48,1708,1134,113,8,9,21,0,0,31762650,98.7
173,2020,07_Ulsan,C038,2170,2748,0,0,0,610,38809,8247,777,39693278,29,607,24,30.7,26563.5,29.73,37.64,470,143,613,3,0,0,0,0,143712110,68.22,53.68,0.089,0.279,229.4,182.2,158.9,126.2,4566396000,17,4105400000,6,460996000,11,94727040,4515210995,9506072.1,26008613336,6457321080,6375412520,1849427450,0,8306748530,3049467.2,1657,1394,3051,3.51,879,651,39,0,10,5,0,0,19415480,96.6
174,2020,08_Gwangju,C039,3243,3733,0,0,0,934,48268,9281,406,28612500,58,329,3,54.1,34120.7,32.11,36.96,390,82,472,3,0,38500000,38500000,81567.797,38500000,63.13,54.89,0.057,0.301,107.2,97.9,145.4,132.8,5349349000,12,5275049000,10,74300000,2,324867662,5036455858,9347104.1,35313359228,10167819370,10106923370,1960511860,0,12128331230,3269092,2225,1891,4116,3.45,1348,1002,83,0,6,7,8,0,2993230,93.6
175,2020,08_Gwangju,C040,444,595,0,0,0,19,8122,2584,35,2254500,0,50,2,54.4,31645.6,23.37,31.32,0,0,0,2,0,1487800,1487800,0,1487800,82.61,63.33,0,0.25,221.7,170.3,128.3,98.6,1412900000,1,1412900000,1,0,0,150000,1431348575,9476515.4,5865963019,1529107730,1521107730,402363150,0,1931470880,3145718,344.1,146.9,491,3.33,174,138,5,0,0,0,0,0,16387220,95.3
