SN,Yr_disclosure,Regions,Codes,NoStuR,NoStuE,NoStuE_ODC,StuEmp_CEA,NoCEA,Class_UND30,NoStuE_MJCred,NoStuE_LBCred,NoStueE_Cap,CapFund,TPTC,NoStuE_VolCLPG,No_VolCLPG,LibLit_pStuE,LibSpen_pStuE,NoStuR_pFac,NoStuE_pFac,NoStuE_EntreCL,NoStuE_EntrePG,NoStuE_EntreCLPG,NoFac_Entre,EntreFund_Col,EntreFund_Bus,Startup_Fund,EntreFund_pStuE,StuEStartup_Fund,Rfac_pStuR,Rfac_pStuE,BookPub_pFac,PaperPub_pFac,RLand_pStuR,RLand_pStuE,RFacil_StuR,RFacil_StuE,Tot_FinanSup,No_FinanSup,Tot_GF,No_GF,Tot_RGF,No_RGF,Profit_CIC,TotIncome_CIC,EduSupFee_pStudE,TotEduSup_Fee,TotExt_Schol,NatSchol,TotInt_Schol,Disast_Schol,TotSchol,Schol_pStuE,Cred_pRFac,Cred_pCFac,TotCred,AveGradScore,NoGrad,NoEmpl,NoExcep,Freelancer,Founder,IndFac_H,IndFac_D,IndFac_C,SafeFund_SCI,REnrol_StuR
30,2019,06_Busan,C032,2992,2818,125,26,72,1376,25295,12673,106,10566674,280,159,5,34,5806.3,40.99,38.6,2288,56,2344,2,81530000,13403000,94933000,40500.427,0,54.89,58.4,0.008,0.078,158.8,190.8,122,146.6,1955558860,16,1744868000,4,210690860,12,0,1564302853,8916552.1,26384077616,10013846510,9974926350,2916128670,0,12929975180,4794206.6,1737,2369,4106,3.28,929,599,214,2,34,6,0,0,923820,82.2
31,2019,06_Busan,C033,3158,4104,605,106,185,1549,48224,11113,573,42583610,395,129,4,38.5,18171,28.2,36.64,1774,100,1874,3,0,76432800,76432800,40785.912,76432800,74.17,57.44,0.175,0.043,167.7,132,198,155.9,7600359620,15,7366262620,10,234097000,5,140051955,5495874472,10218889.7,41304752226,8739372015,8616333635,3622515790,0,12361887805,3038065.3,3076.5,2419.5,5496,3.36,1607,928,166,2,20,0,13,0,0,99.9
32,2019,06_Busan,C034,3013,2820,219,104,80,722,37356,7665,327,77882575,104,1037,6,55.6,21943.3,41.27,38.63,1283,84,1367,1,0,93219600,93219600,68192.831,93219600,54.48,57.94,0.082,0.094,121.2,123.8,146,149.2,4360368000,4,4282368000,2,78000000,2,28460912,4527362725,10466715.9,30112741502,7341950648,7251569248,2419590510,0,9761541158,3468920.1,1678.5,1870.5,3549,2.95,978,695,36,0,5,2,0,0,8397230,86.3
33,2019,06_Busan,C035,902,761,0,0,0,434,12024,1364,0,0,0,0,0,17.4,8351.4,41,34.59,0,0,0,0,0,0,0,0,0,48.89,57.89,0.005,0,330.8,392.3,176.8,209.7,0,0,0,0,0,0,16949500,69350901,9148050.2,6851889619,1876782892,1865544332,564121878,0,2440904770,3394860.6,490.1,605.9,1096,3.5,301,90,78,0,6,0,0,0,0,79.2
34,2019,07_Ulsan,C037,4692,5191,415,77,125,1902,49885,14440,214,28031817,456,0,6,35.2,28008.2,34.5,38.17,2587,731,3318,2,0,269967253,269967253,81364.452,269967253,59.39,53.54,0.05,0.236,244.8,238,152.2,148,10893817999,48,8673899310,30,2219918689,18,2632669813,13288776159,10753158.9,54152908345,9659360060,9529339960,4114740110,0,13774100170,2817365.5,5184.6,2810.3,7994.9,3.46,1609,1063,91,6,10,13,7,0,36651720,97.8
35,2019,07_Ulsan,C038,2170,2736,0,0,0,659,40382,8359,682,44024160,0,452,15,30.7,26563.5,29.73,37.48,410,99,509,1,0,0,0,0,146380460,68.22,53.68,0.07,0.144,231.5,184.3,158.9,126.5,4423658000,12,4019986000,3,403672000,9,54701990,4414391473,9726423.7,25940372003,6412731060,6329007220,1823588050,0,8236319110,3122183.1,1579,1501,3080,3.48,789,653,40,0,2,5,0,0,18679239,96.5
36,2019,08_Gwangju,C039,3247,3778,0,0,0,926,49366,12096,486,30520126,63,174,3,54.1,34120.7,32.15,37.41,444,88,532,4,0,72731880,72731880,136714.06,72731880,62.73,54.01,0.077,0.385,106.7,96.6,145.4,131.8,6206894500,15,6169394500,14,37500000,1,293264182,6675021195,9663007.1,36816057056,10300962419,10242752000,1985965550,0,12286927969,3280888.6,2210.6,1929.3,4139.9,3.44,1345,984,74,0,3,7,14,0,20232180,94.4
37,2019,08_Gwangju,C040,446,619,0,0,0,65,7537,2575,0,0,0,30,2,54.4,31645.6,22.3,30.95,146,18,164,3,0,2700000,2700000,16463.415,2700000,86.96,64.52,0.005,0.142,221.7,164.9,128.3,95.4,852380000,3,852380000,3,0,0,1700000,870584847,9190016.9,5808090700,1581260550,1575260550,427358880,0,2008619430,3178195.3,331.3,208.9,540.2,3.33,172,142,1,0,0,1,0,0,4748000,99.3
38,2019,08_Gwangju,C041,3279,3217,0,0,0,944,45464,7818,406,34869290,197,581,5,49.5,20682.9,38.58,37.85,1386,124,1510,1,10000000,30000000,40000000,26490.066,40000000,54.84,55.56,0.111,0.16,80.3,79.7,159.1,157.9,2126482600,11,1507486000,3,618996600,8,401777914,2687849533,8720571.8,29397047537,8669832636,8581632636,1765845330,0,10435677966,3254031.2,1745,2271,4016,3.34,1160,720,149,0,19,7,4,0,8015070,88.3
39,2019,08_Gwangju,C042,4254,5122,222,62,53,1507,51126,9318,933,75972190,338,458,14,19.2,21640.5,32.23,38.8,927,193,1120,2,3600000,37478840,41078840,36677.536,0,64.39,54.1,0.061,0.082,131.4,129.8,131.1,129.4,5721309000,16,5131449000,11,589860000,5,95945500,5974963353,9170678.5,47494943787,12785874164,12743642084,3046116689,0,15831990853,3168299.2,2872.2,3724.6,6596.8,3.35,1996,1257,211,0,15,0,0,0,20006700,90.7
40,2019,08_Gwangju,C044,556,769,0,0,0,136,11471,2794,0,0,0,192,1,41.3,21878.8,25.27,34.95,785,0,785,2,0,1200000,1200000,1528.662,1200000,78.57,56.41,0.038,0.638,396,286.3,116.3,84.1,1908000000,1,1908000000,1,0,0,9687112,1927374827,10613701.6,8395437943,1755017810,1740099810,672520440,0,2427538250,3068948.5,463.7,212.1,675.8,3.31,200,172,0,0,0,0,0,0,656530,101.3
41,2019,08_Gwangju,C045,3001,3344,173,49,59,1334,44919,7196,563,89952888,183,434,3,33.3,21912.2,30.94,34.47,771,196,967,1,20015770,45283114,65298884,67527.284,65298884,65.54,58.79,0.093,0.321,235.9,226.9,150.4,144.7,4756670000,16,4661670000,13,95000000,3,307545623,5103452513,9679933.1,32698814121,8221963570,8201913400,3258334660,0,11480298230,3519404.7,2463.3,2575.8,5039.1,3.46,1492,852,199,43,15,3,0,0,18638630,96
42,2019,09_Kyunggi,C046,3456,3984,58,19,49,1668,42637,14801,810,85928244,708,47,2,33.4,30566.5,31.71,36.55,2273,189,2462,1,30720000,49799000,80519000,32704.712,80519000,64.12,55.33,0.021,0.029,87.1,86.3,117.2,116.2,6263265753,44,4892469602,32,1370796151,12,1649816586,8467250875,11272535.5,44954871467,8819856200,8442392280,3538510710,0,12358366910,3203309.2,3126,3248,6374,3.31,1651,1157,154,4,14,14,4,0,19606410,94.3
43,2019,09_Kyunggi,C047,3648,4336,239,82,77,2092,51148,15241,1197,47114490,534,1368,2,35.8,37511.5,28.95,34.41,1001,150,1151,1,26100000,0,26100000,22675.934,26100000,73.26,62.07,0.055,0.246,131.7,127.4,158.3,153.2,1509369130,19,219505580,5,1289863550,14,392901798,2658514203,10786101.8,46272376831,12899194090,12537564350,4400450510,0,17299644600,4150586.5,3600,3115,6715,3.29,1766,1138,285,37,15,2,2,0,9276000,93.3
44,2019,09_Kyunggi,C048,5283,6565,494,139,42,1768,71873,10909,738,41010015,824,374,4,16.4,21650.7,30.36,37.73,2079,393,2472,2,31650000,5200000,36850000,14906.958,31650000,69.88,56.31,0.11,0.127,273.5,237.2,206.1,178.7,11835164000,18,2523175000,8,9311989000,10,377065564,11634939175,10546106.2,70142152221,19617980755,19473670415,6608120059,0,26226100814,4072375.9,4290,3323.5,7613.5,3.58,2405,1523,284,81,9,1,0,0,14234240,99.4
45,2019,09_Kyunggi,C049,2544,2892,0,0,0,770,28137,6555,730,84526012,213,70,2,43.3,48483.4,28.91,32.86,630,304,934,3,24600000,232000000,256600000,274732.334,255600000,68.75,60.69,0.041,0.049,134.3,119.6,142.3,126.7,3797594300,10,3698000000,5,99594300,5,826124750,4759271256,11505209.2,33123497386,6619944620,6463370700,3344786550,0,9964731170,3592188.6,1726,2511,4237,3.32,1125,505,115,7,13,4,1,0,0,98.7
46,2019,09_Kyunggi,C050,3824,3889,0,0,0,1239,40414,10667,928,39000000,136,9,2,31.6,20562.8,36.42,37.04,3772,112,3884,0,0,0,0,0,25266300,58.99,57.69,0.01,0.059,162.2,176.1,134.3,145.8,1597706560,22,979320000,6,618386560,16,296320399,1162472763,9318096.8,36293986904,9253212710,9196713470,3640524935,0,12893737645,3443840.2,2560,2613,5173,3.51,1749,1033,180,66,16,0,0,0,13028980,95.6
47,2019,09_Kyunggi,C051,3047,3423,0,0,0,1053,38295,8048,0,0,395,481,3,32.9,28907.3,34.24,38.46,964,262,1226,4,16764000,10000000,26764000,21830.343,16764000,63.12,57.05,0.014,0.237,314.7,297.3,127,120,2276169175,25,1101148956,13,1175020219,12,420746360,2175454018,9483751.6,33269000518,8364774720,7987131420,3179213720,0,11543988440,3444938.4,2615,2335,4950,3.14,1275,671,138,36,9,16,0,0,7399230,94
48,2019,09_Kyunggi,C052,176,406,0,0,0,174,4395,1972,227,3270000,202,65,3,95.8,60794.1,14.67,33.83,455,243,698,2,11879100,0,11879100,17018.768,11879100,150,70.59,0.083,0.354,3064.7,3064.7,511.7,763.8,17280000,1,17280000,1,0,0,1395459578,2369346470,21964706.4,9620541402,544942020,495501280,319902760,0,864844780,2006600.4,335,180,515,3.4,158,208,1,0,0,5,5,0,0,94.9
49,2019,09_Kyunggi,C053,5710,6686,402,256,213,1408,70463,18660,1139,41453134,836,143,8,28.8,24617.7,35.69,41.79,4453,2486,6939,2,17487746,140119838,157607584,22713.299,157607584,58.61,50.16,0.017,0.078,104.3,103.7,106.4,105.7,8717567650,30,6614297000,15,2103270650,15,762125665,9997954770,10599785.7,69947985614,16094271440,15853841520,6530873470,0,22625144910,3507774.4,3582,4697,8279,3.14,2302,1547,193,1,16,5,0,0,19895806,96.3
50,2019,09_Kyunggi,C054,4153,4677,0,0,0,1813,66265,8926,2616,37316853,87,462,12,30.6,22175.6,34.9,39.3,1887,523,2410,2,500000,0,500000,207.469,58607720,60.1,53.13,0.073,0.23,64.7,59.7,138,127.2,7381178000,14,4509717000,5,2871461000,9,215393321,7416592249,9760510.6,46508833015,11167514348,10937417021,4519669470,0,15687183818,3326374.9,3057,3091,6148,3.34,1681,1253,76,0,8,0,1,0,12806480,93.8
51,2019,09_Kyunggi,C055,5538,5953,227,102,109,1660,67439,15884,614,40988398,1045,608,8,39,25541.5,34.19,36.75,1925,296,2221,1,24649990,0,24649990,11098.6,24649990,60.67,56.45,0.073,0.152,85.5,87.5,109.3,111.7,4373961000,21,2601234000,13,1772727000,8,372394687,4103691381,9832540.3,56232298085,12850310120,12542355940,5751742490,0,18602052610,3314692.2,4564,3561,8125,3.22,2212,1352,194,63,10,18,0,0,13739620,97
52,2019,09_Kyunggi,C056,2469,3072,0,0,0,1412,26929,10451,718,107717443,276,278,2,32.8,32270.7,30.86,38.4,2315,184,2499,1,311280,132892540,133203820,53302.849,133203820,64.52,51.95,0.038,0.199,2633.4,2116.5,156.5,125.7,5618336000,7,5538686000,3,79650000,4,633141388,6385969690,12240237.6,36794154174,7745713570,7624042670,2639290521,0,10385004091,3551643,1654.8,2805.2,4460,3.39,997,674,95,33,9,10,3,0,0,98.9
53,2019,09_Kyunggi,C057,3356,3663,0,0,0,1500,43440,8101,867,36071596,627,936,4,35,30136.3,35.33,38.56,3114,234,3348,2,10440000,0,10440000,3118.28,51399710,61.29,56.21,0.017,0.104,273.5,282.5,143.3,148,5175073560,9,4635906000,5,539167560,4,348006646,5269379397,10921166.7,40091603006,10179803190,10046776590,3237939840,0,13417743030,3862332.5,2584,2722,5306,3.41,1466,988,158,7,12,6,0,0,3385890,91.5
